hasIpAddress,hasAtSymbol,isLong,depth,hasPointInDomain,hasNumberInDomain,isShortened,urlLength,dashNbr,underlineNbr,questionMarkNbr,andNbr,pointNbr,domainLength,hasDnsRecord,webTraffic,domainAge,domainEnd,label
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,2310,0.0,0.0,1
0,0,1,0,1,0,0,26,0,0,0,0,3,14,1,5708,0.0,9.07,1
0,0,1,0,1,0,0,26,0,0,0,0,3,14,1,10926,73.03,8.97,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,1862,268.57,14.63,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,17345,170.43,9.53,1
0,0,1,0,0,0,0,30,0,0,0,0,2,18,1,2559,0.0,0.0,1
0,0,1,0,1,0,0,23,0,0,0,0,3,11,1,4031,0.0,82.13,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,1003,0.0,0.0,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,6471,389.57,72.43,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,755,0.0,0.0,1
0,0,1,0,0,0,1,25,0,0,0,0,2,13,1,3069,243.5,10.13,1
0,0,1,0,0,0,1,19,0,0,0,0,2,7,1,1974,0.0,12.53,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,1295,0.0,0.0,1
0,0,1,0,0,0,0,27,0,0,0,0,2,15,1,1752,0.0,3.63,1
0,0,1,0,1,0,0,23,0,0,0,0,3,11,1,584,0.0,0.0,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,2254,243.5,29.37,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,0,146.1,9.0,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,856,206.97,15.57,1
0,0,1,0,0,0,0,20,0,0,0,0,2,8,1,101,0.0,12.67,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,2319,219.17,4.47,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,3918,60.9,38.67,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,1880,267.83,11.33,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,4870,161.87,8.43,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,4759,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,2294,328.63,25.8,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,125,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,349,414.0,78.57,1
0,0,1,0,0,0,0,31,0,0,0,0,2,19,1,4984,267.83,71.87,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,63,170.43,28.23,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,1702,316.5,12.1,1
0,0,1,0,0,0,0,28,0,0,0,0,2,16,1,2946,0.0,0.0,1
0,0,1,0,1,0,0,24,0,0,0,0,3,12,1,112,0.0,0.0,1
0,0,1,0,0,0,1,24,0,0,0,0,2,12,1,984,206.93,5.77,1
0,0,1,0,0,0,1,24,0,0,0,0,2,12,1,836,219.17,4.27,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,1426,146.1,35.4,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,1668,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,127,260.87,3.43,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,3245,0.0,0.0,1
0,0,1,0,0,0,0,20,0,0,0,0,2,8,1,3594,363.5,76.1,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,39,0.0,0.0,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,4411,0.0,0.0,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,1814,267.4,13.07,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,860,0.0,0.0,1
0,0,1,0,1,0,0,25,0,0,0,0,3,13,1,1402,0.0,0.0,1
0,0,1,0,0,0,1,26,0,0,0,0,2,14,1,314,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,958,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,400,0.0,0.0,1
0,0,1,0,0,0,0,27,0,0,0,0,2,15,1,983,219.17,30.3,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,1469,0.0,4.53,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,2155,280.0,10.7,1
0,0,1,0,1,0,0,25,0,0,0,0,3,13,1,573,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,116,292.17,8.4,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,2327,206.97,110.7,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,1486,201.2,4.87,1
0,0,1,0,0,0,1,24,0,0,0,0,2,12,1,852,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,10253,0.0,0.0,1
0,0,1,0,0,0,1,22,0,0,0,0,2,10,1,409,0.0,0.0,1
0,0,1,0,0,0,0,32,0,0,0,0,2,20,1,13535,280.03,54.13,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,1696,328.77,7.13,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,326,292.83,5.47,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,2603,353.03,50.33,1
0,0,1,0,0,1,0,24,0,0,0,0,2,12,1,3841,206.97,72.53,1
0,0,1,0,0,0,0,29,0,0,0,0,2,17,1,3071,0.0,11.33,1
0,0,1,0,0,0,0,18,0,0,0,0,2,6,1,1281,353.1,28.87,1
0,0,1,0,1,0,0,24,0,0,0,0,3,12,1,2741,0.0,15.67,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,2177,328.7,11.77,1
0,0,1,0,0,0,0,31,0,0,0,0,2,19,1,3137,0.0,7.2,1
0,0,1,0,0,0,1,24,0,0,0,0,2,12,1,2780,0.0,0.0,1
0,0,1,0,0,0,0,20,0,0,0,0,2,8,1,1619,389.57,2.43,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,3078,0.0,0.0,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,3754,0.0,17.73,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,2490,0.0,3.1,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,2526,0.0,0.0,1
0,0,1,0,0,0,0,30,0,0,0,0,2,18,1,3170,0.0,0.0,1
0,0,1,0,0,0,0,34,0,0,0,0,2,22,1,3346,0.0,12.87,1
